FECHA,LINEA,ENSAMBLE,CATEGORIA,SUBCATEGORIA,HORA INICIO,HORA FINAL,TIEMPO TOTAL,REEMPLAZO DE PARTES DAÑADAS,ESPERANDO PARTES DE REEMPLAZO,TPM,ATENDIENDO SOPORTE,VALIDACIÓN / VERIFICACIÓN DE AJUSTES,AJUSTANDO Y ENVIANDO PROGRAMA,DEPURANDO NUEVO PROCESO,CAMBIO DE LÍNEA,PROGRAMA NO DISPONIBLE,MAQUINA LENTA,ROUTING INCORRECTO / NO ACTUALIZADO,RECUPERANDO COMPONENTES,FALLA ELÉCTRICA DEL PROBADOR,DEPURANDO EQUIPO o PROGRAMA,FALLA MECÁNICA DEL PROBADOR,SOLICITUD Y MONTADO DE MATERIAL PRODUCCION,SURTIDO DE ALMACÉN,AUDITORÍA Y LIBERACIÓN CALIDAD,MATERIAL EQUIVOCADO (CARRUSEL),ESPERANDO MATERIAL DE AVNET,DISCREPANCIA DE MATERIAL,KIT NO A TIEMPO POR CAPACIDAD DE KITEO,PERSONAL INSUFICIENTE,ROLLO EXTRAVIADO (MATERIALES),ROLLO EXTRAVIADO (PRODUCCION),CONTANDO MATERIAL MONTADO EN MAQUINA,DISCREPANCIA o MAL BALANCE,TRASLAPE DE TURNO,JUNTA INICIAL,EJERCICIOS DE ESTIRAMIENTO,DESPEJE DE LINEA (CIERRE DE TURNO),FALLA DE EQUIPOS,BOM COMPLEJO / GRANDE,MATERIAL PERDIDO / KIT INCOMPLETO,NO PLAN,BALANCEO DE LINEAS,ENTRENAMIENTOS,PERSONAL CUBRIENDO LINEA,MAQUINA PREVIA LENTA/CAIDA,MAQUINA SIGUIENTE LENTA/CAIDA,ROLLO MAL MONTADO EN FEEDER,FEEDER S / ESCANEAR,PCBs BLOQUEADOS INCORRECTAMENTE,SETUP DE MAQUINA INCORRECTO,RECUPERANDO COMPONENTE,CORTANDO ROLLO (S) POR INVENTARIO JUSTO,CAMBIOS DE ROLLOS EN MAQUINA,HACIENDO EMPATE,KIT NO A TIEMPO POR CAPACIDAD DE MONTADO,CARROS DE MONTADO INSUFICIENTES,FEEDERS INSUFICIENTES,SORTEO E INSPECCION DE PRODUCTO,MATERIA PRIMA CON DEFECTO DE PROVEEDOR,FALTA DE MATERIAL (DETENIDO QC INSPECCION),CAMBIO DE PROGRAMA (PRIORIDADES),ERROR EN PLAN DE PRODUCCION,LUZ,AGUA,SISTEMA DE EXTRACCION,AIRE COMPRIMIDO,SUMINISTRO VAC (COMUN / UPS),SIMULACROS,EVACUACION POR ALARMA,CONATOS,SYTELINE CAIDO,SISTEMA DE CRs NO DISPONIBLE,IMPRESORA NO DISPONIBLE,PC (s) TRABADA (s),ACTUALIZACIONES AUTOMATICAS,CURSOS DE CAPACITACION,JUNTAS INFORMATIVAS,BLOQUEADOS PCBs con DEFECTO,REEMPALZO DE PAPEL EN DEK,INGENIERIA,MATERIALES,PRODUCCION,CALIDAD,CONTROL DE PRODUCCION,MANTENIMIENTO,SISTEMAS,OTROS
5/21/2024,3,28343-1A,INGENIERIA,MANTENIMIENTO CORRECTIVO,5:00:00 AM,6:00:00 AM,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
5/21/2024,3,25025-1A,INGENIERIA,MANTENIMIENTO CORRECTIVO,2:00:00 AM,3:00:00 AM,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
5/21/2024,3,25025-1A,PRODUCCION,RECURSOS DE PERSONAL,4:00:00 AM,5:00:00 AM,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
5/21/2024,3,25025-1A,INGENIERIA,MANTENIMIENTO CORRECTIVO,4:00:00 AM,5:00:00 AM,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
5/21/2024,3,25025-1A,INGENIERIA,REABASTO POR MATERIAL INSUFICIENTE (USI),8:00:00 AM,9:00:00 AM,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
5/21/2024,3,25025-1A,MATERIALES,ESPERANDO SURTIDO (ALMACÉN),8:00:00 AM,9:00:00 AM,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
5/27/2024,2,003-28218-1E,INGENIERIA,ESPERANDO TÉCNICO,7:00:00 AM,8:00:00 AM,36,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
5/27/2024,2,003-28218-1E,PRODUCCION,ARRANQUE DE TURNO,7:00:00 AM,8:00:00 AM,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
5/27/2024,2,003-28218-1E,MATERIALES,ESPERANDO SURTIDO (ALMACÉN),7:00:00 AM,8:00:00 AM,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
5/27/2024,2,003-28218-1E,INGENIERIA,PROBLEMAS DE PROCESO,8:00:00 AM,9:00:00 AM,38,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
